FINESS_ET;FINESS_EJ;RAISON_SOCIALE;RAISON_SOCIALE_ENTITE_JURIDIQUE;ADRESSE_ADMINISTRATIVE_1;ADRESSE_ADMINISTRATIVE_2;NUM_VOIE;CPT_NUM;TYPE_VOIE;VOIE;ADRESSE_COMPLETE;COMPLEMENT_ADRESSE;NUM_DEPT;DEPT;CP_VILLE;NUM_TEL;NUM_FAX;NUM_CAT;CATEGORIE_DE_L_ETABLISSEMENT;NUM_TYPE;TYPE_ETABLISSEMENT;NUM_SIRET;CODE_APE;CODE_TARIF;LIB_TARIFICATION;CODE_PSPH;PARTICIPANT_SERVICE_PUBLIC_HOSPITALIER;DATE_OUVERTURE;lat;lng;WGS84
920600012;750042590;ETABLISSEMENT ARPEGE;ACCUEIL RESIDENCE POLYHANDICAPES EN GROUPE EDUCATIF;;;49;B;R;KLOCK;49B R KLOCK;;92;HAUTS-DE-SEINE;92110 CLICHY;01 41 06 98 69;01 55 90 10 03;173;Pouponnière à Caractère Sanitaire;1112;Etablissements d'Enfants à Caractère Sanitaire;42386883500186;;15;ARS privé hors PSPH sous dotation globale;7;Etab de santé privé non lucratif, non déclar intérêt collect;1920-04-04;48.9021234;2.3154637;48.9021234,2.3154637
750020059;750034308;CATTP LA COMETE;CATTP LA COMETE;;;14;;R;DE THIONVILLE;14 R DE THIONVILLE;;75;PARIS;75019 PARIS;01 42 00 04 53;;425;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26930124800283;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;2005-01-24;48.8885843;2.3822703;48.8885843,2.3822703
750813016;750001711;CMP ECOLE PARENTS ET ÉDUCATEURS D'IDF;CMP ECOLE DES PARENTS ET DES EDUCATEURS D'ILE DE FRANCE;;(75/G/12);5;;IMP;DU BON SECOURS;5 IMP DU BON SECOURS;;75;PARIS;75543 PARIS CEDEX 11;01 44 93 44 88;01 44 93 44 89;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;78471870200037;;4;ARS établissements PSPH dotation globale;6;Etablissement de santé privé d’intérêt collectif;1904-04-04;48.854938;2.3833511;48.854938,2.3833511
930300025;930000393;HOPITAL EUROPEEN LA ROSERAIE;;;;120;;AV;DE LA REPUBLIQUE;120 AV DE LA REPUBLIQUE;;93;SEINE-SAINT-DENIS;93308 AUBERVILLIERS CEDEX;08 25 10 04 00;01 48 34 22 33;365;Etablissement de Soins Pluridisciplinaire;1110;Etablissements de Soins de Courte Durée;69202837600014;8610Z;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1962-01-03;48.9054665;2.3900414;48.9054665,2.3900414
940808579;940110018;CTRE PR ALCOOL.HENRI DUCHENE;CENTRE POUR ALCOOLIQUES HENRI DUCHENE - CHOISY-LE-ROI;;;34;;BD;DE STALINGRAD;34 BD DE STALINGRAD;;94;VAL-DE-MARNE;94600 CHOISY LE ROI;01 46 80 11 68;;431;Centre Postcure pour Alcooliques;1113;Etablissements de Lutte contre l'Alcoolisme;26940115400076;;1;Etablissement Tarif Libre;1;Etablissement public de santé;1978-01-01;48.7699012;2.4019649;48.7699012,2.4019649
930005459;930140025;CENTRE ACCUEIL THERAPEUTIQUE;;;;57;;R;LT LEBRUN;57 R LT LEBRUN;;93;SEINE-SAINT-DENIS;93000 BOBIGNY;;;425;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26930093500104;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;2003-01-01;48.908612;2.439712;48.908612,2.439712
910808161;910002773;CENTRE MEDICO-PSY. 91 G 10;DISPENSAIRE HYGIENE MENTALE   SECTEUR VI;;PRAIRIE DE L OLY;6;;R;DES JONCS;6 R DES JONCS;;91;ESSONNE;91230 MONTGERON;01 69 03 19 74;01 69 52 94 63;156;Centre Médico-Psychologique (C.M.P.);1111;Autres Etablissements de Lutte contre les Maladies Mentales;26910004600052;;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1904-04-04;48.7021989;2.443258;48.7021989,2.443258
930300124;750054272;CTRE SOINS DE SUITE CLINIQUE GALLIENI;CENTRE DE SOINS DE SUITE CLINIQUE GALLIENI - GRPE CLINEA;;16-18;16;;AV;DU MARECHAL GALLIENI;16 AV DU MARECHAL GALLIENI;;93;SEINE-SAINT-DENIS;93150 LE BLANC MESNIL;01 48 19 81 00;01 48 68 56 63;108;Etablissement de Convalescence et de Repos;1107;Etablissements de Soins de Suite et de Réadaptation;35228942500022;;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1969-09-25;48.9276952;2.465128;48.9276952,2.465128
780300125;780000535;POLYCLINIQUE REGION MANTAISE;POLYCLINIQUE DE LA REGION MANTAISE;;;23;;BD;VICTOR DUHAMEL;23 BD VICTOR DUHAMEL;;78;YVELINES;78200 MANTES LA JOLIE;01 30 98 16 00;01 30 98 47 38;128;Etablissement de Soins Chirurgicaux;1110;Etablissements de Soins de Courte Durée;38306043100012;8610Z;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1935-01-01;48.9848695;1.7168418;48.9848695,1.7168418
780824983;780140026;HOPITAL DE JOUR SECT.78 G 13;;;;2;;PAS;ROCHE;2 PAS ROCHE;;78;YVELINES;78000 VERSAILLES;01 39 02 02 65;;292;Centre Hospitalier Spécialisé lutte Maladies Mentales;1103;Centres Hospitaliers Spécialisés Lutte Maladies Mentales;26780010000286;8610Z;3;ARS établissements Publics de santé dotation globale;1;Etablissement public de santé;1990-01-11;48.809992;2.1368604;48.809992,2.1368604
