Rang;Type de document;Prêts;Titre;Auteur;Nombre de localisations;Nombre de prêt total;Nombre de prêts 2017;Nombre d'exemplaires
10.0;Livre jeunesse;1020;Max et Lili ont du mal à se concentrer;Saint-Mars, Dominique de;48;1493;402;112
9.0;Livre jeunesse;1022;Max et Lili veulent être populaires;Saint-Mars, Dominique de;54;6732;1494;133
1.0;Livre jeunesse;1189;Max se trouve trop petit;Saint-Mars, Dominique de;53;3471;1799;135
104.0;Bande dessinée jeunesse;732;Les Légendaires. 18. La fin de l'histoire ?;Sobral, Patrick;52;2694;869;80
79.0;Livre jeunesse;763;Max et Lili aident les enfants du monde;Saint-Mars, Dominique de;44;7446;1019;95
60.0;Livre jeunesse;795;Le chien de Max et Lili est mort;Saint-Mars, Dominique de;45;7123;1087;90
84.0;Livre jeunesse;759;Lili fait sa commandante;Saint-Mars, Dominique de;46;6220;1026;95
66.0;Bande dessinée jeunesse;783;Ici Radio-casserole;Cohen, Jacqueline;44;6812;1114;93
80.0;Livre jeunesse;763;Max ne respecte rien;Saint-Mars, Dominique de;44;5756;986;86
82.0;Bande dessinée jeunesse;760;Aube et crépuscule;Sobral, Patrick;53;5838;1121;95
107.0;Bande dessinée jeunesse;730;L'exode de Kalandre;Sobral, Patrick;49;3981;1041;81
93.0;Livre pour adulte;746;L'ordre du jour : récit;Vuillard, Éric;50;1263;505;68
105.0;Bande dessinée jeunesse;732;Lou !. 7. La cabane;Neel, Julien;52;1857;976;80
11.0;Livre jeunesse;1019;Max et Lili ont peur des images violentes;Saint-Mars, Dominique de;51;4522;1407;119
46.0;Livre jeunesse;815;Max et Lili fêtent Noël en famille;Saint-Mars, Dominique de;48;6741;1122;99
44.0;Livre jeunesse;819;Lili trouve sa maîtresse méchante;Saint-Mars, Dominique de;43;6458;1110;92
17.0;Livre jeunesse;970;La copine de Lili n'a pas de papa;Saint-Mars, Dominique de;53;3748;1532;118
36.0;Livre jeunesse;840;Lili fait des cauchemars;Saint-Mars, Dominique de;47;7667;1153;97
29.0;Bande dessinée jeunesse;868;Les fous du mercredi;Cohen, Jacqueline;46;7647;1155;101
58.0;Livre jeunesse;797;Max aime les monstres;Saint-Mars, Dominique de;43;6500;1087;86
51.0;Bande dessinée jeunesse;805;La pierre de Jovénia;Sobral, Patrick;50;5751;1023;101
21.0;Bande dessinée jeunesse;936;Ben ça, alors !;Cohen, Jacqueline;48;8837;1329;122
20.0;Livre jeunesse;945;Max boude;Saint-Mars, Dominique de;53;8327;1424;131
120.0;Livre jeunesse;707;Le père de Max et Lili est au chômage;Saint-Mars, Dominique de;43;5617;839;85
111.0;Bande dessinée jeunesse;724;Ariol. 7. Le maître-chien;Guibert, Emmanuel;44;4866;915;77
108.0;Livre jeunesse;729;Max n'aime pas l'école;Saint-Mars, Dominique de;43;6697;957;101
136.0;Livre jeunesse;688;Lili a été suivie;Saint-Mars, Dominique de;49;7138;961;97
131.0;Livre jeunesse;694;Emilie a déménagé;Saint-Mars, Dominique de;41;6913;1009;86
109.0;Bande dessinée jeunesse;726;L'Alystory;Sobral, Patrick;51;5224;1021;85
127.0;Bande dessinée jeunesse;697;A fond le slip !;Zep;53;832;122;82
469.0;Bande dessinée pour adulte;435;L'Arabe du futur. 2. Une jeunesse au Moyen-Orient, 1984-1985;Sattouf, Riad;52;2494;716;61
454.0;Livre jeunesse;442;La vérité toute moche : grandir ou ne pas grandir, telle est la question !;Kinney, Jeff;50;3023;534;62
420.0;Livre pour adulte;455;Le charme discret de l'intestin : tout sur un organe mal aimé;Enders, Giulia;46;1974;647;66
402.0;Livre jeunesse;462;Grand-mère sucre et grand-père chocolat;Bigot, Gigi;51;3411;655;104
433.0;Livre pour adulte;450;Au revoir là-haut : roman;Lemaitre, Pierre;42;2969;437;60
434.0;Livre pour adulte;449;Minuit sur le canal San Boldo;Leon, Donna;44;630;168;44
453.0;Bande dessinée jeunesse;442;La lutte des classes;Godi, Bernard;36;4334;609;50
470.0;Livre pour adulte;435;Trois jours et une vie;Lemaitre, Pierre;49;1849;521;53
448.0;Bande dessinée jeunesse;444;Superstars;Cohen, Jacqueline;31;2784;576;49
398.0;Livre pour adulte;465;Les Bourgeois : roman;Ferney, Alice;52;845;345;55
282.0;Bande dessinée jeunesse;527;Astérix chez Rahàzade : ou le compte des mille et une heures;Uderzo, Albert;40;5899;677;69
296.0;Bande dessinée jeunesse;519;Seuls. 2. Le maître des couteaux;Gazzotti, Bruno;51;5081;739;75
