adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
6, PASSAGE DES TOURELLES;2015;RIVP;12;;;;12;acquisition conventionnement;;75020;logement familial;48.875211, 2.404254
6, RUE COURAT;2002;LOGIS.TR.;35;;;;35;acquisition conventionnement;;75020;logement familial;48.85674, 2.405643
6, RUE DE CHAMBIGES;2012;PARIS HAB;2;2;;;;acquisition conventionnement;;75008;logement familial;48.866815, 2.303724
6, RUE DE LORRAINE;2016;SABLIERE;42;10;;;32;construction neuve;;75019;logement familial;48.884291, 2.3844
6, RUE DES PANOYAUX;2009;SIEMP;12;10;;2;;construction neuve;;75020;logement familial;48.866278, 2.384809
6, RUE DESARGUES;2007;SIEMP;1;;;;1;acquisition réhabilitation;;75011;logement familial;48.869594, 2.376285
6, RUE DU NIGER;2009;PARIS HAB;21;14;;1;6;acquisition conventionnement;;75012;logement familial;48.843835, 2.409266
6, RUE DU SOLEIL;2012;RIVP;4;;;;4;construction neuve;;75020;logement familial;48.874973, 2.394178
6, RUE LAMBERT;2008;SIEMP;7;6;;1;;acquisition réhabilitation;projet abandonné refinancé;75018;logement familial;48.888459, 2.345947
60 RUE RIQUET;2007;SIEMP;13;;;;13;construction neuve;;75019;logement familial;48.889673, 2.368806
60, RUE ALBERT;2007;SNL-PROLOG;1;;;1;;acquisition conventionnement;;75013;logement familial;48.826134, 2.37164
60, RUE CHAMPIONNET;2007;SIEMP;22;;;22;;acquisition réhabilitation;;75018;maison relais;48.895808, 2.347102
60, RUE D'AUBERVILLIERS (LOGTS ETUDIANTS);2003;RIVP;94;94;;;;construction neuve;;75019;résidence pour étudiants;48.88756, 2.367271
60, RUE LA FAYETTE;2011;RIVP;48;;;48;;construction neuve;;75009;foyer pour jeunes travailleurs ou résidence pour jeunes;48.875442, 2.342675
60, RUE PLANCHAT;2011;TOIT&JOIE;6;6;;;;acquisition conventionnement;;75020;logement familial;48.856295, 2.396306
60-62, RUE DE PASSY;2010;PARIS HAB;29;17;;6;6;acquisition réhabilitation;;75016;logement familial;48.85794, 2.278039
6-12, RUE DE CHAUMONT;2013;RIVP;61;;;;61;acquisition conventionnement;;75019;logement familial;48.880846, 2.371471
61-63, RUE D'AVRON;2004;LOGIREP;105;55;;;50;construction neuve;;75020;logement familial;48.852269, 2.403193
61-77 ET 66-72 RUE ARMAND CARREL;2012;RIVP;79;;;;79;acquisition conventionnement;;75019;logement familial;48.882961, 2.373215
62, RUE REGNAULT;2013;ELOGIE;14;5;;2;7;acquisition réhabilitation;;75013;logement familial;48.823899, 2.373687
63 A 75 BD DIDEROT 20 A 20BIS RUE DE REUILLY (CASERNE DE REUILLY LOT C);2015;PARIS HAB;19;4;;9;6;construction neuve;;75012;logement familial;48.848091, 2.384033
63, BOULEVARD DE CHARONNE;2011;PARIS HAB;22;22;;;;construction neuve;;75011;foyer pour personnes handicapées;48.853342, 2.396531
63, RUE DOUDEAUVILLE;2007;RIVP;24;;;;24;acquisition réhabilitation;;75018;logement familial;48.888229, 2.351659
63, RUE LAMARCK;2005;SEMIDEP;13;7;;6;;acquisition réhabilitation;;75018;logement familial;48.890004, 2.337808
63-67-69, RUE CORVISART;2002;ELOGIE;46;24;;7;15;acquisition conventionnement;;75013;logement familial;48.829931, 2.349442
64 RUE DE VARENNE;2004;SEMEA XV;9;6;;3;;construction neuve;;75005;logement familial;48.8442, 2.353524
64, RUE D'HAUTPOUL;2004;SIEMP;9;;;;9;acquisition réhabilitation;;75019;logement familial;48.885555, 2.387028
64-66, RUE HERMEL;2013;RIVP;49;31;;2;16;acquisition réhabilitation;;75018;logement familial;48.894518, 2.346245
65 BD KELLERMANN;2009;ELOGIE;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.820546, 2.350003
65, RUE DE LAGNY 10, RUE MOUNET SULLY;2012;ELOGIE;2;2;;;;acquisition réhabilitation;;75020;logement familial;48.849206, 2.405457
65, RUE DE LAGNY VINCENNES IV;2016;ELOGIE;207;83;;20;104;acquisition conventionnement;;75020;logement familial;
65, RUE JEAN JACQUES ROUSSEAU 45, RUE ETIENNE MARCEL;2016;TOIT&JOIE;17;5;;12;;construction neuve;;75001;logement familial;
66, RUE DE SAUSSURE;2009;FREHA;3;;;3;;acquisition réhabilitation;;75017;logement familial;48.885936, 2.314461
67, AVENUE DE BRETEUIL;2006;IMM 3F;22;13;;4;5;acquisition conventionnement;;75005;logement familial;48.840178, 2.348363
67, RUE RIQUET;2010;SIEMP;14;10;;;4;acquisition réhabilitation;;75018;logement familial;48.889876, 2.362699
68 RUE CURIAL 98 RUE DE L'OURCQ;2010;RIVP;17;5;;;12;acquisition réhabilitation;;75019;logement familial;48.893482, 2.376902
