ortho	phon	lemme	cgram	genre	nombre	
a	a	a	NOM	m		
a priori	apRijoRi	a priori	NOM	m		
à-côté	akote	à-côté	NOM	m	s	
à-côtés	akote	à-côté	NOM	m	p	
à-coup	aku	à-coup	NOM	m	s	
à-coups	aku	à-coup	NOM	m	p	
à-peu-près	ap2pRE	à-peu-près	NOM	m		
à-pic	apik	à-pic	NOM	m		
à-pics	apik	à-pic	NOM	m	p	
à-plat	apla	à-plat	NOM	m	s	
à-plats	apla	à-plat	NOM	m	p	
à-propos	apRopo	à-propos	NOM	m		
à-valoir	avalwaR	à-valoir	NOM	m		
aa	aa	aa	NOM	m	s	
abaca	abaka	abaca	NOM	m	s	
abaisse	abEs	abaisse	NOM	f	s	
abaisse-langue	abEsl@g	abaisse-langue	NOM	m		
abaissement	abEs°m@	abaissement	NOM	m	s	
abalone	abalOn	abalone	NOM	m	s	
abalones	abalOn	abalone	NOM	m	p	
abandon	ab@d§	abandon	NOM	m	s	
abandonneurs	ab@don9R	abandonneur	NOM	m	p	
abandons	ab@d§	abandon	NOM	m	p	
abaque	abak	abaque	NOM	m	s	
abat	aba	abat	NOM	m	s	
abat-jour	abaZuR	abat-jour	NOM	m		
abat-son	abas§	abat-son	NOM	m		
abatage	abataZ	abatage	NOM	m	s	
abatis	abati	abatis	NOM	m		
abats	aba	abat	NOM	m	p	
abattage	abataZ	abattage	NOM	m	s	
abattages	abataZ	abattage	NOM	m	p	
abattant	abat@	abattant	NOM	m	s	
abattants	abat@	abattant	NOM	m	p	
abattement	abat°m@	abattement	NOM	m	s	
abattements	abat°m@	abattement	NOM	m	p	
abatteur	abat9R	abatteur	NOM	m	s	
abatteurs	abat9R	abatteur	NOM	m	p	
abattis	abati	abattis	NOM	m		
abattoir	abatwaR	abattoir	NOM	m	s	
abattoirs	abatwaR	abattoir	NOM	m	p	
abattu	abaty	abattu	NOM	m	s	
abattures	abatyR	abatture	NOM	f	p	
abattus	abaty	abattu	NOM	m	p	
abbatiale	abasjal	abbatiale	NOM	f	s	
abbaye	abei	abbaye	NOM	f	s	
abbayes	abei	abbaye	NOM	f	p	
abbé	abe	abbé	NOM	m	s	
abbés	abe	abbé	NOM	m	p	
abbesse	abEs	abbé	NOM	f	s	
abbesses	abEs	abbé	NOM	f	p	
abc	abese	abc	NOM	m		
abcès	apsE	abcès	NOM	m		
abdication	abdikasj§	abdication	NOM	f	s	
abdications	abdikasj§	abdication	NOM	f	p	
abdomen	abdomEn	abdomen	NOM	m	s	
abdominaux	abdomino	abdominal	NOM	m	p	
abdos	abdo	abdos	NOM	m	p	
abduction	abdyksj§	abduction	NOM	f	s	
abécédaire	abesedER	abécédaire	NOM	m	s	
abeille	abEj	abeille	NOM	f	s	
abeilles	abEj	abeille	NOM	f	p	
aber	abe	aber	NOM	m	s	
aberration	abERasj§	aberration	NOM	f	s	
aberrations	abERasj§	aberration	NOM	f	p	
abêtissement	abetis°m@	abêtissement	NOM	m	s	
abîme	abim	abîme	NOM	m	s	
abîmes	abim	abîme	NOM	m	p	
abjection	abZEksj§	abjection	NOM	f	s	
abjections	abZEksj§	abjection	NOM	f	p	
abjuration	abZyRasj§	abjuration	NOM	f	s	
abjurations	abZyRasj§	abjuration	NOM	f	p	
ablatif	ablatif	ablatif	NOM	m	s	
ablation	ablasj§	ablation	NOM	f	s	
ablations	ablasj§	ablation	NOM	f	p	
able	abl	able	NOM	m	s	
ablette	ablEt	ablette	NOM	f	s	
ablettes	ablEt	ablette	NOM	f	p	
ablution	ablysj§	ablution	NOM	f	s	
ablutions	ablysj§	ablution	NOM	f	p	
abnégation	abnegasj§	abnégation	NOM	f	s	
aboi	abwa	aboi	NOM	m	s	
aboiement	abwam@	aboiement	NOM	m	s	
aboiements	abwam@	aboiement	NOM	m	p	
abois	abwa	aboi	NOM	m	p	
abolition	abolisj§	abolition	NOM	f	s	
abolitionniste	abolisjonist	abolitionniste	NOM		s	
abolitionnistes	abolisjonist	abolitionniste	NOM		p	
abomination	abominasj§	abomination	NOM	f	s	
abominations	abominasj§	abomination	NOM	f	p	
abondance	ab§d@s	abondance	NOM	f	s	
abonné	abone	abonné	NOM	m	s	
abonnée	abone	abonné	NOM	f	s	
abonnées	abone	abonné	NOM	f	p	
abonnement	abOn°m@	abonnement	NOM	m	s	
abonnements	abOn°m@	abonnement	NOM	m	p	
abonnés	abone	abonné	NOM	m	p	
abord	abOR	abord	NOM	m	s	
abordage	abORdaZ	abordage	NOM	m	s	
abordages	abORdaZ	abordage	NOM	m	p	
abords	abOR	abord	NOM	m	p	
aborigène	aboRiZEn	aborigène	NOM		s	
aborigènes	aboRiZEn	aborigène	NOM		p	
abornement	abORn°m@	abornement	NOM	m	s	
abouchements	abuS°m@	abouchement	NOM	m	p	
aboulie	abuli	aboulie	NOM	f	s	
aboulique	abulik	aboulique	NOM		s	
abounas	abuna	abouna	NOM	m	p	
about	abu	about	NOM	m	s	
aboutissant	abutis@	aboutissant	NOM	m	s	
aboutissants	abutis@	aboutissant	NOM	m	p	
aboutissement	abutis°m@	aboutissement	NOM	m	s	
aboyeur	abwaj9R	aboyeur	NOM	m	s	
aboyeurs	abwaj9R	aboyeur	NOM	m	p	
abracadabra	abRakadabRa	abracadabra	NOM	m	s	
abrasif	abRazif	abrasif	NOM	m	s	
abrasifs	abRazif	abrasif	NOM	m	p	
abrasion	abRazj§	abrasion	NOM	f	s	
abraxas	abRaksas	abraxas	NOM	m		
abrégé	abReZe	abrégé	NOM	m	s	
abrégés	abReZe	abrégé	NOM	m	p	
abreuvage	abR9vaZ	abreuvage	NOM	m	s	
abreuvoir	abR9vwaR	abreuvoir	NOM	m	s	
abreuvoirs	abR9vwaR	abreuvoir	NOM	m	p	
abréviation	abRevjasj§	abréviation	NOM	f	s	
abréviations	abRevjasj§	abréviation	NOM	f	p	
abri	abRi	abri	NOM	m	s	
abri-refuge	abRiR°fyZ	abri-refuge	NOM	m	s	
abribus	abRibys	abribus	NOM	m		
abricot	abRiko	abricot	NOM	m	s	
abricotier	abRikotje	abricotier	NOM	m	s	
abricotiers	abRikotje	abricotier	NOM	m	p	
abricotine	abRikotin	abricotine	NOM	f	s	
abricots	abRiko	abricot	NOM	m	p	
